Output factors,,,,,,,,,,
Open field,,,,,,,,,,
SSD=95cm,,,,,,,,,,
Depth=5cm,,,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,,,
,,Field size X [cm],,,,,,,,
Field Size Y [cm],,3,4.0,5.0,7.0,10.0,15.0,20.0,30.0,40.0
,3.0,0.877,0.894,0.902,0.91,0.916,0.919,0.921,0.923,0.923
,4.0,0.896,0.915,0.925,0.936,0.942,0.947,0.949,0.952,0.952
,5.0,0.906,0.927,0.939,0.951,0.959,0.965,0.968,0.971,0.971
,7.0,0.917,0.941,0.955,0.97,0.98,0.988,0.992,0.996,0.997
,10.0,0.927,0.953,0.969,0.987,1.0,1.01,1.016,1.021,1.022
,15.0,0.934,0.963,0.98,1.001,1.017,1.03,1.038,1.045,1.047
,20.0,0.938,0.968,0.986,1.008,1.026,1.04,1.05,1.059,1.061
,30.0,0.942,0.973,0.992,1.016,1.035,1.052,1.064,1.075,1.078
,40.0,0.945,0.976,0.995,1.02,1.04,1.058,1.07,1.082,1.085
